threshold,cum_return,trades,hit_when_trading
0.5,0.7294089514282072,141,0.1251840942562592
0.52,0.6425805572710044,88,0.08689248895434462
0.54,0.41717348050292746,57,0.055964653902798235
0.56,0.25628148598381006,35,0.035346097201767304
0.6,0.19185085762035103,20,0.022091310751104567
0.7,0.17069984258425985,5,0.007363770250368188
0.66,0.13391069217552332,8,0.010309278350515464
0.68,0.1317942369524221,7,0.008836524300441826
0.64,0.10238868655148581,13,0.014727540500736377
0.58,0.08322934490688216,29,0.027982326951399118
0.72,0.06638901350000004,2,0.0029455081001472753
0.74,0.047050000000000036,1,0.0014727540500736377
0.76,0.047050000000000036,1,0.0014727540500736377
0.62,0.03831915812039077,15,0.016200294550810016
0.78,0.0,0,0.0
0.8,0.0,0,0.0
0.82,0.0,0,0.0
0.84,0.0,0,0.0
0.86,0.0,0,0.0
0.88,0.0,0,0.0
0.9,0.0,0,0.0
